#LCMV Arm
#3-10
     gene log2FoldChange       pvalue pvalue_adj  label
1   Cd160     -0.4233218 4.105228e-07 0.01325373  Cd160
2   Eomes     -0.4443769 7.142041e-06 0.23058081  Eomes
3    Cd27      0.5951241 1.658592e-03 1.00000000   Cd27
4   Pdcd1     -0.1001305 3.556626e-03 1.00000000  Pdcd1
5    Tcf7      1.0498138 1.561953e-02 1.00000000   Tcf7
6   Klrg1      0.1455110 2.080335e-01 1.00000000  Klrg1
7     Tox      0.6402822 2.641953e-01 1.00000000    Tox
8  Cx3cr1      0.2549050 3.564916e-01 1.00000000 Cx3cr1
9   S1pr5      0.6497770 4.056744e-01 1.00000000  S1pr5
10  Cxcr3      0.2051461 5.540789e-01 1.00000000  Cxcr3
11   Il7r      0.6500485 6.394417e-01 1.00000000   Il7r
#3-0
     gene log2FoldChange        pvalue    pvalue_adj  label
1    Gzma     -1.0430576 1.322241e-303 4.268854e-299   Gzma
2   Cxcr3      2.9807875 8.999010e-283 2.905330e-278  Cxcr3
3   S1pr5     -1.9181518 2.539368e-176 8.198351e-172  S1pr5
4  Cx3cr1     -1.0815054 3.940088e-133 1.272058e-128 Cx3cr1
5    Cd27      1.3097188  2.223007e-99  7.176979e-95   Cd27
6   Klrg1     -0.5251625  1.604210e-43  5.179191e-39  Klrg1
7   Pdcd1      2.1516504  1.106506e-24  3.572354e-20  Pdcd1
8     Tox      0.5438710  1.835205e-19  5.924960e-15    Tox
9    Il7r     -0.9660494  1.691084e-12  5.459663e-08   Il7r
10  Cd160      0.5934350  1.077904e-07  3.480015e-03  Cd160
11   Tcf7     -0.7299101  3.813710e-06  1.231256e-01   Tcf7

#0-2
     gene log2FoldChange        pvalue    pvalue_adj  label
1    Gzma      1.2598440 1.000000e-300 1.000000e-300   Gzma
2    Il7r     -1.6278424 4.097704e-146 1.322944e-141   Il7r
3   Klrg1      0.7841235  1.098055e-80  3.545071e-76  Klrg1
4    Tcf7     -0.7583304  1.703553e-33  5.499921e-29   Tcf7
5   Cxcr3     -0.6646147  2.213601e-14  7.146610e-10  Cxcr3
6  Cx3cr1      0.2984793  4.612826e-13  1.489251e-08 Cx3cr1
7     Tox     -0.4863097  1.717938e-12  5.546364e-08    Tox
8    Cd27     -0.1876982  5.050031e-08  1.630403e-03   Cd27
9   S1pr5      0.2585187  2.573156e-04  1.000000e+00  S1pr5
10  Pdcd1     -0.3239435  4.541385e-02  1.000000e+00  Pdcd1
11  Cd160      0.1010594  3.422696e-01  1.000000e+00  Cd160
12  Eomes      0.2586469  8.306156e-01  1.000000e+00  Eomes

#2-5

1  Il7r      -2.045350 1.000000e-300 1.000000e-300  Il7r
2  Gzma       2.851402 1.000000e-300 1.000000e-300  Gzma
3 Klrg1       2.332007 7.248412e-200 2.340150e-195 Klrg1
4  Tcf7      -1.119570 8.083556e-110 2.609776e-105  Tcf7
5   Tox      -1.111852  1.127390e-66  3.639778e-62   Tox
6  Ccr7      -3.225587  1.555659e-25  5.022445e-21  Ccr7
7 Pdcd1      -0.525142  2.050950e-04  1.000000e+00 Pdcd1
8 Eomes      -0.236715  2.242424e-04  1.000000e+00 Eomes

#10-7

1 Eomes      0.7545569 0.002082094          1 Eomes
2 Klrg1     -0.1435147 0.017639169          1 Klrg1
3  Il7r      0.8946528 0.020973967          1  Il7r
4  Tcf7      0.8042288 0.052951433          1  Tcf7
5  Gzma     -0.1339471 0.078761939          1  Gzma
6 Cd160      0.4462299 0.196246225          1 Cd160
7   Tox      0.2240840 0.397075266          1   Tox
8 Pdcd1      0.1072686 0.665083166          1 Pdcd1

#10-0
   gene log2FoldChange       pvalue   pvalue_adj label
1  Gzma     -1.0048629 1.592720e-98 5.142095e-94  Gzma
2 Pdcd1      2.2517809 8.698638e-32 2.808355e-27 Pdcd1
3 Cd160      1.0167568 2.609725e-20 8.425496e-16 Cd160
4 Klrg1     -0.6706734 1.945723e-15 6.281768e-11 Klrg1
5 Eomes      0.4952849 8.288268e-09 2.675867e-04 Eomes
6  Tcf7     -1.7797238 2.656867e-06 8.577695e-02  Tcf7
7  Il7r     -1.6160979 1.639707e-05 5.293795e-01  Il7r

#7-0
   gene log2FoldChange        pvalue    pvalue_adj label
1  Gzma     -0.8709158 3.035902e-170 9.801411e-166  Gzma
2 Pdcd1      2.1445123  5.672496e-51  1.831365e-46 Pdcd1
3 Cd160      0.5705268  9.871404e-26  3.186983e-21 Cd160
4  Tcf7     -2.5839526  2.531962e-21  8.174440e-17  Tcf7
5  Il7r     -2.5107507  1.530079e-20  4.939861e-16  Il7r
6 Klrg1     -0.5271587  1.312910e-16  4.238729e-12 Klrg1
7   Tox     -0.3204952  1.951669e-07  6.300963e-03   Tox
8 Eomes     -0.2592721  1.705884e-03  1.000000e+00 Eomes

＃LCMV C13
#6-12
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Tcf7     -4.9267872 1.000000e-300 1.000000e-300   Tcf7
2    Id3     -5.2487671 2.828495e-298 9.131796e-294    Id3
3    Tox     -1.3187015 2.404339e-114 7.762410e-110    Tox
4   Il7r     -2.2156048  1.417184e-59  4.575380e-55   Il7r
5  Eomes     -1.6567679  3.573755e-21  1.153787e-16  Eomes
6 Cx3cr1      3.6432070  1.998587e-19  6.452439e-15 Cx3cr1
7  Cd160     -0.7025643  1.191907e-14  3.848070e-10  Cd160
8  Klrg1      4.6410051  8.546673e-08  2.759293e-03  Klrg1
9   Lag3     -0.5426514  3.901737e-07  1.259676e-02   Lag3
25           Ccr7      -5.924256  1.130342e-51  3.649309e-47
30          Cxcr5      -5.589586  7.818000e-83  2.524041e-78

#6-8

1    Tox      0.5369877 3.085186e-19 9.960522e-15    Tox
2  Klrg1     -1.3264224 4.376811e-12 1.413053e-07  Klrg1
3  Pdcd1      0.5614406 1.372655e-07 4.431617e-03  Pdcd1
4 Cx3cr1     -0.8981230 1.207392e-06 3.898066e-02 Cx3cr1
5   Tcf7     -1.6866686 5.426328e-06 1.751890e-01   Tcf7
6   Lag3      0.4141118 3.965439e-03 1.000000e+00   Lag3
7   Il7r     -1.1642091 1.156354e-02 1.000000e+00   Il7r
8  Eomes     -0.6615762 2.648100e-02 1.000000e+00  Eomes
9    Id3      0.5975082 5.044975e-01 1.000000e+00    Id3

#8-13
1  Klrg1     -1.1498676 1.301046e-05  0.4200426  Klrg1
2 Cx3cr1     -0.8793564 1.039319e-03  1.0000000 Cx3cr1
3   Lag3      1.3385266 5.575644e-03  1.0000000   Lag3
4  Pdcd1      0.6729177 3.096992e-02  1.0000000  Pdcd1
5  Cd160      0.4213811 2.503612e-01  1.0000000  Cd160
6  Eomes      0.6827531 3.676104e-01  1.0000000  Eomes
7    Id3     -0.2957488 7.134462e-01  1.0000000    Id3
8   Tcf7      0.3477317 7.814536e-01  1.0000000   Tcf7
9   Il7r      0.2597947 9.741413e-01  1.0000000   Il7r

#12-9
1    Tox     -0.3578965 3.639325e-14 1.174956e-09    Tox
2  Eomes     -1.5028087 9.047776e-14 2.921075e-09  Eomes
3  Cd160      0.6115448 1.831011e-12 5.911420e-08  Cd160
4   Ccr7      0.9954476 1.015554e-05 3.278718e-01   Ccr7
5  Pdcd1      0.1397890 1.163251e-03 1.000000e+00  Pdcd1
6   Il7r     -0.4793062 7.911834e-02 1.000000e+00   Il7r
7 Cx3cr1     -0.6642537 9.709311e-01 1.000000e+00 Cx3cr1

#9-11

1  Cx3cr1     -5.5653827 9.352871e-122 3.019574e-117 Cx3cr1
2    Tcf7      4.2057847  5.834337e-70  1.883616e-65   Tcf7
3     Id3      3.9963826  9.256402e-37  2.988429e-32    Id3
4    Il7r      5.0524463  3.614173e-31  1.166836e-26   Il7r
5     Tox      0.5477644  4.419498e-21  1.426835e-16    Tox
6   Klrg1     -3.6726992  8.388334e-16  2.708174e-11  Klrg1
7   Cd160      1.3132789  1.297924e-06  4.190347e-02  Cd160
8    Ccr7      5.7315863  5.318931e-04  1.000000e+00   Ccr7
9   Eomes      0.3707941  4.419893e-03  1.000000e+00  Eomes
10   Lag3      0.2801378  6.525605e-03  1.000000e+00   Lag3
#11-4

1  Cx3cr1      4.0965261 4.788143e-195 1.545852e-190 Cx3cr1
2     Tox     -0.8524365  3.682114e-45  1.188770e-40    Tox
3   Cd160     -2.5818551  7.862230e-21  2.538321e-16  Cd160
4   Pdcd1     -1.3008069  4.671283e-18  1.508124e-13  Pdcd1
5   Klrg1      2.3219057  9.123715e-16  2.945592e-11  Klrg1
6    Lag3     -0.9108965  8.324566e-06  2.687586e-01   Lag3
7    Tcf7      1.0574683  4.138564e-03  1.000000e+00   Tcf7
8   Eomes     -0.5196321  5.057360e-03  1.000000e+00  Eomes
9     Id3      1.3651221  2.029279e-02  1.000000e+00    Id3
10   Il7r     -0.4374825  6.011382e-01  1.000000e+00   Il7r
#11-13
     gene log2FoldChange       pvalue   pvalue_adj  label
1     Tox      1.7093798 5.578436e-23 1.800998e-18    Tox
2   Klrg1     -1.9456619 1.847968e-07 5.966166e-03  Klrg1
3    Il7r     -3.2619498 1.259219e-05 4.065390e-01   Il7r
4   Eomes      2.8099594 1.684211e-05 5.437474e-01  Eomes
5  Cx3cr1      0.8089500 1.391306e-03 1.000000e+00 Cx3cr1
6    Lag3      2.0156551 3.888303e-03 1.000000e+00   Lag3
7   Cd160     -0.7911963 2.316514e-02 1.000000e+00  Cd160
8   Pdcd1      1.1631421 3.758448e-02 1.000000e+00  Pdcd1
9    Tcf7     -0.6718387 4.623848e-01 1.000000e+00   Tcf7
10    Id3      1.6332552 5.674996e-01 1.000000e+00    Id3

#MCMV
#1-3
    gene log2FoldChange       pvalue   pvalue_adj  label
1   Cd27     -0.3480057 9.763371e-53 3.152104e-48   Cd27
2 Cx3cr1      0.7857705 7.888059e-09 2.546660e-04 Cx3cr1
3  Klrg1      0.5743795 5.426396e-04 1.000000e+00  Klrg1
4  Tbx21      0.3208181 2.565007e-03 1.000000e+00  Tbx21
5   Il7r      0.5092757 1.576105e-02 1.000000e+00   Il7r
6   Tcf7      1.0588506 6.098654e-02 1.000000e+00   Tcf7


#3-7
   gene log2FoldChange       pvalue   pvalue_adj label
1 Tbx21     -0.1481397 1.649682e-15 5.325998e-11 Tbx21
2  Cd27      0.8574382 9.193391e-11 2.968086e-06  Cd27
3  Tcf7      1.8540426 1.164611e-09 3.759946e-05  Tcf7
4  Il7r      1.5447013 1.377246e-04 1.000000e+00  Il7r



#1-0
    gene log2FoldChange       pvalue   pvalue_adj  label
1 Cx3cr1     -0.2957349 9.854385e-62 3.181488e-57 Cx3cr1
2   Il7r     -0.4567736 1.652088e-22 5.333766e-18   Il7r
3  Tbx21      0.2732096 7.155160e-06 2.310043e-01  Tbx21
4   Cd27      0.9617131 1.206864e-05 3.896359e-01   Cd27
5   Tcf7      0.3289406 1.088153e-02 1.000000e+00   Tcf7


#0-2
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -1.6278424 4.097704e-146 1.322944e-141   Il7r
2  Klrg1      0.7841235  1.098055e-80  3.545071e-76  Klrg1
3   Tcf7     -0.7583304  1.703553e-33  5.499921e-29   Tcf7
4 Cx3cr1      0.2984793  4.612826e-13  1.489251e-08 Cx3cr1
5   Cd27     -0.1876982  5.050031e-08  1.630403e-03   Cd27


#2-5
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r     -2.0453501 1.000000e-300 1.000000e-300   Il7r
2 Cx3cr1      2.5266468 8.736510e-299 2.820582e-294 Cx3cr1
3  Klrg1      2.3320070 7.248412e-200 2.340150e-195  Klrg1
4   Tcf7     -1.1195697 8.083556e-110 2.609776e-105   Tcf7
